season,team,champion share,champion,playoffs,predicted champion share,prediction rank,make finals
2011,Miami Heat,87.5,FALSE,1,63.34471706,3,TRUE
1976,Golden State Warriors,58.33333333,FALSE,1,63.23527636,1,FALSE
1995,San Antonio Spurs,60,FALSE,1,63.16920329,1,FALSE
1993,Phoenix Suns,86.66666667,FALSE,1,62.96529646,2,TRUE
2006,Dallas Mavericks,87.5,FALSE,1,62.88800917,3,TRUE
2004,San Antonio Spurs,37.5,FALSE,1,62.85838317,1,FALSE
2023,Boston Celtics,68.75,FALSE,1,62.70541728,1,FALSE
2005,Miami Heat,68.75,FALSE,1,62.60720946,2,FALSE
2000,Portland Trail Blazers,66.66666667,FALSE,1,62.21070063,2,FALSE
2010,Los Angeles Lakers,100,TRUE,1,62.15563419,2,TRUE
1995,Utah Jazz,13.33333333,FALSE,1,62.04779389,2,FALSE
1998,Seattle SuperSonics,26.66666667,FALSE,1,61.9667055,3,FALSE
2013,Oklahoma City Thunder,31.25,FALSE,1,61.96548912,3,FALSE
2020,Los Angeles Lakers,100,TRUE,1,61.91604317,1,TRUE
1996,San Antonio Spurs,33.33333333,FALSE,1,61.72542475,2,FALSE
2021,Phoenix Suns,87.5,FALSE,1,61.64304798,1,TRUE
1975,Washington Bullets,66.66666667,FALSE,1,61.28505994,2,TRUE
2003,Sacramento Kings,43.75,FALSE,1,61.05297319,2,FALSE
2019,Toronto Raptors,100,TRUE,1,60.9870474,2,TRUE
2010,Orlando Magic,62.5,FALSE,1,60.95821025,3,FALSE
1993,New York Knicks,60,FALSE,1,60.80175177,3,FALSE
1958,Boston Celtics,75,FALSE,1,60.79906607,1,TRUE
1997,Houston Rockets,60,FALSE,1,60.41751196,3,FALSE
1998,Los Angeles Lakers,46.66666667,FALSE,1,60.37846596,4,FALSE
1953,Minneapolis Lakers,100,TRUE,1,60.32893717,1,TRUE
2019,Milwaukee Bucks,62.5,FALSE,1,60.26210124,3,FALSE
2004,Indiana Pacers,62.5,FALSE,1,60.22549534,2,FALSE
1966,Boston Celtics,100,TRUE,1,60.2161444,1,TRUE
1995,Phoenix Suns,40,FALSE,1,60.15549047,3,FALSE
2008,Los Angeles Lakers,87.5,FALSE,1,59.97500293,3,TRUE
2020,Milwaukee Bucks,31.25,FALSE,1,59.84966339,2,FALSE
2007,Dallas Mavericks,12.5,FALSE,1,59.79712318,3,FALSE
2004,Minnesota Timberwolves,62.5,FALSE,1,59.58864172,3,FALSE
2005,Dallas Mavericks,37.5,FALSE,1,59.32900496,3,FALSE
2023,Milwaukee Bucks,6.25,FALSE,1,59.11446768,2,FALSE
2020,Toronto Raptors,43.75,FALSE,1,58.76361455,3,FALSE
2003,Dallas Mavericks,62.5,FALSE,1,58.23624733,3,FALSE
1990,Portland Trail Blazers,80,FALSE,1,57.8584682,3,TRUE
1998,Indiana Pacers,66.66666667,FALSE,1,57.78021726,5,FALSE
1996,Seattle SuperSonics,86.66666667,FALSE,1,57.77318034,3,TRUE
2012,Chicago Bulls,12.5,FALSE,1,57.5906654,3,FALSE
1985,Milwaukee Bucks,20,FALSE,1,57.39979234,4,FALSE
1997,Seattle SuperSonics,40,FALSE,1,56.80999541,4,FALSE
1992,Portland Trail Blazers,86.66666667,FALSE,1,56.79672153,2,TRUE
2018,Toronto Raptors,25,FALSE,1,56.70379852,3,FALSE
1984,Los Angeles Lakers,93.33333333,FALSE,1,56.61265005,2,TRUE
1994,New York Knicks,93.33333333,FALSE,1,56.52640998,1,TRUE
2002,Sacramento Kings,66.66666667,FALSE,1,56.39530494,3,FALSE
2009,Orlando Magic,81.25,FALSE,1,56.34550303,4,TRUE
1994,Houston Rockets,100,TRUE,1,56.25174391,2,TRUE
2012,Oklahoma City Thunder,81.25,FALSE,1,56.24582269,4,TRUE
1982,Los Angeles Lakers,100,TRUE,1,55.99236943,3,TRUE
1996,Orlando Magic,46.66666667,FALSE,1,55.80487556,4,FALSE
1959,St. Louis Hawks,25,FALSE,1,55.74287934,2,FALSE
1994,Seattle SuperSonics,13.33333333,FALSE,1,55.66593665,3,FALSE
